x,y,timestamp
961.7726580574158,539.7842781587387,1760535634.9742146
962.0267085554816,539.4519528366404,1760535634.9756923
961.8025979752363,542.1063601173502,1760535635.04211
962.925183961785,545.8005271869858,1760535635.0951433
963.8098810638851,548.3450260093643,1760535635.151558
964.3285105465517,550.8148705412564,1760535635.20092
964.7324987465172,553.1843084033497,1760535635.2487922
964.6214058694715,555.2849840797446,1760535635.3007581
958.2808595515048,556.7431240929313,1760535635.3489003
954.3716480904226,556.7762009345013,1760535635.3997111
950.3326822418693,556.328919731976,1760535635.4575033
946.1608845630267,555.4642222113621,1760535635.5070705
941.9257169277652,554.3470125347146,1760535635.569073
937.5848850656497,553.5988380551155,1760535635.6253927
933.3141482868948,553.8177911472173,1760535635.684976
929.1740969498284,554.3765961990239,1760535635.7417367
925.1904860559564,555.1244092834379,1760535635.7950058
921.5241661885151,555.8591953955004,1760535635.8562765
918.1515839273746,556.7715604179627,1760535635.9112732
915.150478567681,557.5607664007765,1760535635.967173
912.358285686176,558.2988572612462,1760535636.0192769
909.9774244473783,559.277318230872,1760535636.074527
908.0966124094651,560.1987222604788,1760535636.1309755
907.0054393416347,560.7673396247893,1760535636.1928375
908.5584896569015,561.1739180865502,1760535636.2437823
912.0454001239588,561.4628893520527,1760535636.2957218
921.2498088686982,561.3719228097672,1760535636.3463964
928.2586483644898,560.9561564118762,1760535636.3966131
933.6167819728419,560.8725545240322,1760535636.4440374
937.2263357345234,560.7347013340695,1760535636.491323
940.4290055993375,560.5887132156931,1760535636.5400572
943.4229286005638,560.4025623694295,1760535636.6061518
946.0300054781072,560.1868814385124,1760535636.657581
948.2487358277982,560.1572566156536,1760535636.7070892
950.1551654200512,560.2074092964292,1760535636.756627
952.0587026485409,560.6005099566746,1760535636.804999
953.785304403989,561.1393557192459,1760535636.8519914
955.3051234060038,561.7440407277405,1760535636.9084496
956.6706368107405,562.3581232071924,1760535636.969988
958.0508282962487,563.0693721009102,1760535637.0307982
959.6328745510615,563.8646407471344,1760535637.0885026
961.3586311838179,564.6841808594263,1760535637.1425605
963.1556671540856,565.5516049414473,1760535637.2008162
965.0854468092059,566.4150388359703,1760535637.2524831
967.2984355723647,567.2696531390887,1760535637.3054733
970.4198275594542,568.3220945815835,1760535637.357685
973.5374489616258,569.2809178527668,1760535637.4147136
976.607363954457,570.1451322314322,1760535637.4669335
979.2162622573156,570.7274583242082,1760535637.5218687
981.4115474035088,571.1659510343666,1760535637.576722
983.3718038407758,571.6390352415558,1760535637.6349027
985.2731144593394,572.1307228221509,1760535637.6903658
987.0241678370028,572.4516851913145,1760535637.7458165
988.680113078196,572.6578813561766,1760535637.8005211
989.9678575524006,572.5015614325976,1760535637.8556354
991.0060609442643,572.2792642827968,1760535637.9102423
991.7892359624427,572.0439558598313,1760535637.9719815
992.411942969173,571.81597523474,1760535638.0280855
992.8978038870571,571.5443573362295,1760535638.0830736
993.3399105901144,571.2239380174211,1760535638.140705
993.7335861869353,570.8302002186244,1760535638.194222
993.4830725628295,570.2631714053683,1760535638.274047
993.1450518002637,569.3141015774196,1760535638.3326633
992.7868788425546,568.2961054806857,1760535638.3919683
